eel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Bytes received: 
16
Robot state: 0
Robot x: 2846
Robot y:2864
Weapon state:0
Weapon pot:1616
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Sbin sequence started!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CCW!
Turning wheel CW!
Turning wheel CW!
Turning wheel CCW!
